"['Coffee growers, future crops at risk amid low global prices -producers']","['BOGOTA, March 27 (Reuters) - Global coffee growers are being\nforced into poverty by low international prices for the crop,\nfarmers\' representatives said at an international conference,\nwarning the future of the industry is at risk.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=ttObc6EQrYk:bXwVYC_0WBc:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=ttObc6EQrYk:bXwVYC_0WBc:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=ttObc6EQrYk:bXwVYC_0WBc:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=ttObc6EQrYk:bXwVYC_0WBc:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=ttObc6EQrYk:bXwVYC_0WBc:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/ttObc6EQrYk"" height=""1"" width=""1"" alt=""""/>']","['Wed, 27 Mar 2019 16:20:28 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/ttObc6EQrYk/idAFL1N21E0SA']
['UPDATE 3-Soccer-Burundi qualify for first African Cup of Nations finals'],"['* Cameroon, Guinea Bissau and Namibia secure berths in finals<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=hWwos-yCKm0:pZnkTb-eFnY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=hWwos-yCKm0:pZnkTb-eFnY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=hWwos-yCKm0:pZnkTb-eFnY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=hWwos-yCKm0:pZnkTb-eFnY:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=hWwos-yCKm0:pZnkTb-eFnY:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/hWwos-yCKm0"" height=""1"" width=""1"" alt=""""/>']","['Sat, 23 Mar 2019 21:19:18 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/hWwos-yCKm0/idAFL8N21A0M9']
['Soccer-Burundi qualify for first African Cup of Nations finals'],"['JOHANNESBURG, March 23 (Reuters) - Burundi qualified for the African Cup of Nations finals for the first time as they kept Gabon striker Pierre-Emerick Aubameyang in check to get the point they needed in a 1-1 draw on Saturday.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=CsrGGE2l0vQ:jWZWV1I7yaQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=CsrGGE2l0vQ:jWZWV1I7yaQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=CsrGGE2l0vQ:jWZWV1I7yaQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=CsrGGE2l0vQ:jWZWV1I7yaQ:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=CsrGGE2l0vQ:jWZWV1I7yaQ:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/CsrGGE2l0vQ"" height=""1"" width=""1"" alt=""""/>']","['Sat, 23 Mar 2019 16:06:19 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/CsrGGE2l0vQ/idAFL8N21A0JQ']
['Central African Republic opens cabinet to more armed groups to bolster peace'],"['BANGUI, March 22 (Reuters) - Central African Republic has\nincluded more rebel officials in an expanded cabinet, the\npresident announced on Friday, in a bid to shore up peace\nefforts after several armed groups said they were not\nsufficiently represented following a deal last month.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=9z2t6r3pQX8:QApiD7_AQIg:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=9z2t6r3pQX8:QApiD7_AQIg:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=9z2t6r3pQX8:QApiD7_AQIg:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=9z2t6r3pQX8:QApiD7_AQIg:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=9z2t6r3pQX8:QApiD7_AQIg:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/9z2t6r3pQX8"" height=""1"" width=""1"" alt=""""/>']","['Fri, 22 Mar 2019 19:36:14 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/9z2t6r3pQX8/idAFL8N2195X3']
['CORRECTED-Vienna waltzes to quality of living win for 10th year'],"['VIENNA, March 13 (Reuters) - The Austrian capital Vienna has\ntopped Mercer\'s index of most liveable cities for the 10th year\nin a row.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=JhTnXTQNq-8:J0o-M5GOADY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=JhTnXTQNq-8:J0o-M5GOADY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=JhTnXTQNq-8:J0o-M5GOADY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=JhTnXTQNq-8:J0o-M5GOADY:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=JhTnXTQNq-8:J0o-M5GOADY:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/JhTnXTQNq-8"" height=""1"" width=""1"" alt=""""/>']","['Wed, 13 Mar 2019 15:45:09 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/JhTnXTQNq-8/idAFL8N20Z53B']
['Ex-Congolese VP seeks damages from war crimes court'],"['THE HAGUE, March 11 (Reuters) - Former Congolese vice\npresident and militia leader Jean-Pierre Bemba, who was\nacquitted of war crimes by the International Criminal Court\n(ICC) last year, is seeking nearly 70 million euros ($75 million\ndollars) in damages.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=iZDOPuAJxJc:HHhvbIODRUE:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=iZDOPuAJxJc:HHhvbIODRUE:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=iZDOPuAJxJc:HHhvbIODRUE:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=iZDOPuAJxJc:HHhvbIODRUE:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=iZDOPuAJxJc:HHhvbIODRUE:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/iZDOPuAJxJc"" height=""1"" width=""1"" alt=""""/>']","['Mon, 11 Mar 2019 14:43:09 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/iZDOPuAJxJc/idAFL8N20Y48D']
['Central African Republic peace deal faces setback'],"['BANGUI, March 5 (Reuters) - Central African Republic\'s\nmonth-old peace deal with armed groups is facing its first major\nchallenge this week, after several signatories said a\nnewly-formed government was not sufficiently representative.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=X9OzPWmjkUQ:anFTjrlKveY:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=X9OzPWmjkUQ:anFTjrlKveY:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=X9OzPWmjkUQ:anFTjrlKveY:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=X9OzPWmjkUQ:anFTjrlKveY:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=X9OzPWmjkUQ:anFTjrlKveY:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/X9OzPWmjkUQ"" height=""1"" width=""1"" alt=""""/>']","['Tue, 05 Mar 2019 17:18:09 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/X9OzPWmjkUQ/idAFL5N20S5WH']
['Congo Ebola centre in flames after another armed attack'],"['GOMA, Democratic Republic of Congo, Feb 27 (Reuters) - Armed\nassailants attacked an Ebola centre in eastern Democratic\nRepublic of Congo on Wednesday, setting off a fire and becoming\nembroiled in an extended gunbattle with security forces that has\nyet to end, the local mayer said.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=A5nsFJ3Btag:pisYibT-r2U:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=A5nsFJ3Btag:pisYibT-r2U:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=A5nsFJ3Btag:pisYibT-r2U:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=A5nsFJ3Btag:pisYibT-r2U:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=A5nsFJ3Btag:pisYibT-r2U:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/A5nsFJ3Btag"" height=""1"" width=""1"" alt=""""/>']","['Wed, 27 Feb 2019 18:28:42 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/A5nsFJ3Btag/idAFL5N20M7R4']
"[""HIGHLIGHTS-Russian President Putin's address to parliament""]","['MOSCOW, Feb 20 (Reuters) - The following are highlights from\nRussian President Vladimir Putin\'s annual address to parliament\non Wednesday.\nRUSSIA-USA RELATIONS\n""We have no interest in confrontation and we don\'t want one,\nleast of all with such a global power as the United States. But\nit appears our partners haven\'t noticed how quickly the world is\nchanging, and where it is heading. They continue their\ndestructive and plainly mistaken policy.""<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=VZZmMTtyLos:if54w2FOjfQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=VZZmMTtyLos:if54w2FOjfQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=VZZmMTtyLos:if54w2FOjfQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=VZZmMTtyLos:if54w2FOjfQ:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=VZZmMTtyLos:if54w2FOjfQ:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/VZZmMTtyLos"" height=""1"" width=""1"" alt=""""/>']","['Wed, 20 Feb 2019 11:49:28 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/VZZmMTtyLos/idAFL5N20F0KF']
['Knock-on effects of war kill 300 babies every day - charity'],"['LONDON, Feb 15 (Thomson Reuters Foundation) - Starvation,\ndisease and a lack of aid are killing 300 babies a day in\nwarzones around the world, with the number of children caught up\nin conflicts nearing a 30-year high, Save the Children said on\nFriday.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=2XLra90H3eA:p0Klj_evVrM:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=2XLra90H3eA:p0Klj_evVrM:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=2XLra90H3eA:p0Klj_evVrM:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaCentralAfricanRepublicNews?a=2XLra90H3eA:p0Klj_evVrM:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaCentralAfricanRepublicNews?i=2XLra90H3eA:p0Klj_evVrM:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaCentralAfricanRepublicNews/~4/2XLra90H3eA"" height=""1"" width=""1"" alt=""""/>']","['Fri, 15 Feb 2019 00:01:00 +0000']","
    Reuters: Central African Republic News",['http://feeds.reuters.com/~r/reuters/AfricaCentralAfricanRepublicNews/~3/2XLra90H3eA/idAFL5N2083AU']
['UPDATE 1-Tripoli hospitals report 47 dead in recent fighting - U.N.'],"['TRIPOLI/GENEVA, April 9 (Reuters) - Health facilities near\nTripoli have reported 47 people killed and 181 wounded in recent\ndays as eastern forces seek to take Libya\'s capital from an\ninternationally-recognised government, the United Nations\'\nhealth body said on Tuesday.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=NKwwU8T4zeQ:c4ZX3hMi4yo:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=NKwwU8T4zeQ:c4ZX3hMi4yo:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=NKwwU8T4zeQ:c4ZX3hMi4yo:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=NKwwU8T4zeQ:c4ZX3hMi4yo:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=NKwwU8T4zeQ:c4ZX3hMi4yo:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaLibyaNews/~4/NKwwU8T4zeQ"" height=""1"" width=""1"" alt=""""/>']","['Tue, 09 Apr 2019 10:02:20 +0000']","
    Reuters: Libya News",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/NKwwU8T4zeQ/idAFL8N21R2KG']
['Tripoli hospitals report 47 dead in recent fighting - U.N.'],"['GENEVA, April 9 (Reuters) - Health facilities near Tripoli\nhave reported 47 people killed and 181 wounded in recent days as\neastern forces seek to take Libya\'s capital from an\ninternationally-recognised government, the United Nations\'\nhealth body said on Tuesday.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=pYc_OQrOd54:Z8fnfCIWXZA:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=pYc_OQrOd54:Z8fnfCIWXZA:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=pYc_OQrOd54:Z8fnfCIWXZA:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=pYc_OQrOd54:Z8fnfCIWXZA:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=pYc_OQrOd54:Z8fnfCIWXZA:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaLibyaNews/~4/pYc_OQrOd54"" height=""1"" width=""1"" alt=""""/>']","['Tue, 09 Apr 2019 09:37:10 +0000']","
    Reuters: Libya News",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/pYc_OQrOd54/idAFL8N21R2A9']
['UPDATE 4-Oil hits five-month high above $71 on Libyan supply threat'],"['* U.S. crude inventories seen higher in weekly reports\n(Updates prices, adds comments, previous dateline SINGAPORE)<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=pzi6-R2weug:mLpzlNyN6nU:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=pzi6-R2weug:mLpzlNyN6nU:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=pzi6-R2weug:mLpzlNyN6nU:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=pzi6-R2weug:mLpzlNyN6nU:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=pzi6-R2weug:mLpzlNyN6nU:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaLibyaNews/~4/pzi6-R2weug"" height=""1"" width=""1"" alt=""""/>']","['Tue, 09 Apr 2019 08:48:40 +0000']","
    Reuters: Libya News",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/pzi6-R2weug/idAFL3N21R0J6']
"[""Libya's U.N.-backed leader receives phone call from Italy's Conte""]","['CAIRO April 9 (Reuters) - Libya\'s U.N.-backed prime minister\nin Tripoli, Fayez al-Serraj, received a telephone call from\nItalian Prime Minister Giuseppe Conte late on Monday to discuss\nsituation in Tripoli.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=FEczKF6YlfQ:s9XB6ME7i7E:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=FEczKF6YlfQ:s9XB6ME7i7E:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=FEczKF6YlfQ:s9XB6ME7i7E:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=FEczKF6YlfQ:s9XB6ME7i7E:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=FEczKF6YlfQ:s9XB6ME7i7E:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaLibyaNews/~4/FEczKF6YlfQ"" height=""1"" width=""1"" alt=""""/>']","['Tue, 09 Apr 2019 01:35:14 +0000']","
    Reuters: Libya News",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/FEczKF6YlfQ/idAFL8N21R05O']
['Oil prices hit highest in 5 mths as Libya fighting tightens supply'],"['SINGAPORE, April 9 (Reuters) - Oil prices on Tuesday reached\ntheir highest since November as concerns over exports from\nwar-torn Libya stoked tightness in the market, with global\nsupply already hit by OPEC-led production cuts and U.S.\nsanctions on Iran and Venezuela.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=u9zYMyXfbQs:1W14MA3v9mE:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=u9zYMyXfbQs:1W14MA3v9mE:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=u9zYMyXfbQs:1W14MA3v9mE:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=u9zYMyXfbQs:1W14MA3v9mE:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=u9zYMyXfbQs:1W14MA3v9mE:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaLibyaNews/~4/u9zYMyXfbQs"" height=""1"" width=""1"" alt=""""/>']","['Tue, 09 Apr 2019 00:59:18 +0000']","
    Reuters: Libya News",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/u9zYMyXfbQs/idAFL3N21R07N']
['UPDATE 9-Oil gains up to 2% to five-month high as Libyan output threatened'],"['* U.S. Cushing stocks fell last week -traders, citing\nGenscape<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=CPuwYi_KNFM:sxi5z72yttQ:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=CPuwYi_KNFM:sxi5z72yttQ:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=CPuwYi_KNFM:sxi5z72yttQ:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=CPuwYi_KNFM:sxi5z72yttQ:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=CPuwYi_KNFM:sxi5z72yttQ:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaLibyaNews/~4/CPuwYi_KNFM"" height=""1"" width=""1"" alt=""""/>']","['Mon, 08 Apr 2019 19:03:55 +0000']","
    Reuters: Libya News",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/CPuwYi_KNFM/idAFL3N21Q05E']
"[""WRAPUP 4-Battle rages for Libya's capital, airport bombed""]","['TRIPOLI/BENGHAZI, Libya, April 8 (Reuters) - A warplane\nattacked Tripoli\'s only functioning airport on Monday as eastern\nforces advancing on the Libyan capital disregarded international\nappeals for a truce in the latest of a cycle of warfare since\nMuammar Gaddafi\'s fall in 2011.<div class=""feedflare"">\n<a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=7MPx35Fz1R8:ESI-8zWOQtM:yIl2AUoC8zA""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?d=yIl2AUoC8zA"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=7MPx35Fz1R8:ESI-8zWOQtM:V_sGLiPBpWU""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=7MPx35Fz1R8:ESI-8zWOQtM:V_sGLiPBpWU"" border=""0""></img></a> <a href=""http://feeds.reuters.com/~ff/reuters/AfricaLibyaNews?a=7MPx35Fz1R8:ESI-8zWOQtM:F7zBnMyn0Lo""><img src=""http://feeds.feedburner.com/~ff/reuters/AfricaLibyaNews?i=7MPx35Fz1R8:ESI-8zWOQtM:F7zBnMyn0Lo"" border=""0""></img></a>\n</div><img src=""http://feeds.feedburner.com/~r/reuters/AfricaLibyaNews/~4/7MPx35Fz1R8"" height=""1"" width=""1"" alt=""""/>']","['Mon, 08 Apr 2019 18:44:35 +0000']","
    Reuters: Libya News",['http://feeds.reuters.com/~r/reuters/AfricaLibyaNews/~3/7MPx35Fz1R8/idAFL8N21Q327']
